pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_imppar,pl_trandur,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,st_dens,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_tmag,sy_snum,sy_pnum,sy_mnum,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_pm,sy_pmra,sy_pmdec,glon,glat,orbital_size_score,stellar_scale_score,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_rade,pl_bmasse,orbital_speed_proxy,eccentricity_mass_interaction,log_orbper
2.29840555,1.8e-07,-1.8e-07,,,,,88.73,,,,,0.6720919782942372,0.0299,-0.0079,0.6951816858825004,0.0041,-0.0032,4516.085336290996,43.0,-43.0,4.615,0.013,-0.013,-0.059,0.036,-0.036,3.165,13.81164772089292,0.126,-0.126,15.317,0.168,-0.168,11.75,0.022,-0.022,11.21,0.023,-0.023,11.019,0.018,-0.018,10.969,0.024,-0.024,11.03,0.021,-0.021,11.024,0.144,-0.144,8.892,13.5442,12.8033,1,1,0,775.1258248483705,0.953,-0.943,4.91793,23.700655,-23.6552,-1.46716,197.14414,23.83401,,1.3486,0.0,0.0,0.0,0.0,0.0,0.0,2.302,230.10892,,,0.36142666168362325
8.40693068,9.705e-05,-9.705e-05,,,,,,,,,,0.9061369215942832,,,0.779189936815855,,,5301.054512301196,31.67,-31.67,4.58575,,,-0.038,0.0305,-0.0305,2.461331,14.1417642048635,0.103,-0.103,15.348,0.042,-0.042,12.451,0.022,-0.022,12.029,0.018,-0.018,11.927,0.018,-0.018,11.922,0.021,-0.021,11.982,0.02,-0.02,11.971,0.179,-0.179,9.148,13.7908,13.2444,1,1,0,504.5608116983232,2.5355,-2.5355,2.37098,14.9188984,14.3531,4.06965,77.84505,19.2314,,1.7147830000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.302,1.65,,,0.9246374664230386
15.089642,4.7e-05,-4.7e-05,,,,,,,,0.02,,1.1627016899580842,0.073,-0.041,1.6385758867919396,0.021,-0.015,,,,,,,,,,,11.80723628020414,0.018,-0.018,12.063,0.253,-0.253,10.373,0.021,-0.021,10.094,0.02,-0.02,10.109,0.011,-0.011,10.065,0.023,-0.023,10.095,0.02,-0.02,10.039,0.046,-0.046,8.951,11.2886,10.9149,1,2,0,485.55287741929095,3.947,-3.872,2.49421,13.3500188,5.94106,11.9552,73.49392,18.70795,,2.808,0.0,0.0,0.0,0.0,0.0,0.0,2.302,3.79,,,1.1786789363117829
6.15555756,2.76e-05,-2.76e-05,0.067,,,0.0,81.93,217.72,980.0,0.8067,5.086,1.047603385890271,0.172,-0.125,0.9681496451455468,0.407,-0.079,5876.1468443376325,165.0,-193.0,4.495,0.038,-0.297,0.1,0.18,-0.28,0.09773,15.3075448428678,0.035,-0.035,16.015,0.068,-0.068,13.894,0.025,-0.025,13.545,0.027,-0.027,13.512,0.039,-0.039,13.503,0.025,-0.025,13.559,0.029,-0.029,12.862,0.475,-0.475,9.33,15.0243,14.538,1,5,0,2134.9254385056424,75.21,-69.51,0.526944,0.8434128,-0.166802,-0.826754,71.83506,13.74892,4.328990292,2.019,0.0,0.0,0.0,0.0,0.0,0.0,1.88,152.522,91.87399343283582,0.0,0.7892673967091622
43.58642609,7.378e-05,-7.378e-05,0.195,,,0.0,88.81,1.35,275.0,0.7873,5.116,0.5267584633846075,0.06,-0.06,0.4830216502423205,0.06,-0.06,3888.6347319997776,67.0,-98.0,4.756,0.072,-0.072,-0.28,0.11,-0.11,0.91197,15.39612182254304,0.046,-0.046,16.897,0.064,-0.064,13.104,0.026,-0.026,12.53,0.028,-0.028,12.357,0.02,-0.02,12.272,0.023,-0.023,12.373,0.022,-0.022,12.491,0.358,-0.358,9.093,14.8882,14.1532,1,2,0,450.3040837694595,3.15,-3.099,2.64697,15.3127166,7.57402,-13.3084,75.22984,7.65134,30.568998263,1.02,0.0,0.0,0.0,0.0,0.0,0.0,2.64,11.5,223.5201337948718,0.0,1.6393512600930629
39.7529915,0.0001149,-0.0001149,,,,,,,,,,1.0070797437868817,,,1.118680188556045,,,5650.84046017495,134.15,-134.15,4.37605,,,-0.0973,0.0133,-0.0133,1.132334,14.170911313456058,0.069,-0.069,15.202,0.01,-0.01,13.189,0.024,-0.024,12.843,0.026,-0.026,12.849,0.031,-0.031,12.726,0.023,-0.023,12.737,0.024,-0.024,12.706,0.299,-0.299,9.702,14.2875,13.8407,1,1,0,998.3976888819954,10.6695,-10.6695,1.20389,12.4325786,2.6917,-12.1377,79.65053,12.12381,,2.08937,0.0,0.0,0.0,0.0,0.0,0.0,2.302,8.65,,,1.599369815836712
204.59,0.67,-0.63,,,,0.152,,,,,,0.8865209564782708,0.036,-0.036,1.175667326422046,0.011,-0.011,5701.118837440355,62.0,-62.0,4.34,0.1,-0.1,-0.39,0.04,-0.04,0.767,8.648543465151368,0.03,-0.03,9.134,0.0,0.0,7.411,0.021,-0.021,7.102,0.038,-0.038,6.997,0.021,-0.021,,,,,,,,,,,8.42196,7.9995,1,4,0,98.45213673060182,0.1902,-0.1891,15.3572,296.3344189,292.931,-44.783,280.78472,24.19215,,2.065,0.0,0.0,0.0,0.0,0.0,0.0,2.302,42.1,,0.13475118538469716,2.310884402343125
9.84262076,3.528e-05,-3.528e-05,,,,,,,,,,0.9272504942283504,,,1.1329819237667311,,,5360.735971968188,122.0,-122.0,4.36527,,,,,,1.136931,15.30361548670792,0.103,-0.103,15.99,0.072,-0.072,14.013,0.035,-0.035,13.595,0.039,-0.039,13.447,0.05,-0.05,13.37,0.027,-0.027,13.518,0.034,-0.034,12.332,,,8.885,15.3313,14.7749,1,1,0,1310.9917637165524,35.4,-33.25,0.901374,12.8110573,0.768274,-12.788,73.52817,7.19207,,1.97867,0.0,0.0,0.0,0.0,0.0,0.0,2.302,8.05,,,0.9931107518930423
25.1936806932,0.0001903069,-0.0001903069,,,,,,,,,,0.8365202055214814,,,0.9761227298477804,,,4981.762152418086,122.0,-122.0,4.50727,,,,,,1.965326,15.824577387180398,0.172,-0.172,16.728,0.073,-0.073,14.183,0.031,-0.031,13.754,0.04,-0.04,13.605,0.041,-0.041,13.467,0.023,-0.023,13.526,0.026,-0.026,13.198,0.516,-0.516,8.874,15.6172,15.0254,1,2,0,1020.1563672867744,29.384,-27.58,1.10529,11.17137,7.34435,-8.41784,80.03966,15.72041,,1.671271,0.0,0.0,0.0,0.0,0.0,0.0,2.302,3.12,,,1.4012916207721569
12.25383217,8.407e-05,-8.407e-05,0.0928,,,0.0,89.38,40.13,642.0,0.4886,2.213,0.7138607673070237,0.099,-0.05,0.6977969163295873,0.123,-0.051,5309.771734070375,167.0,-143.0,4.617,0.04,-0.096,-0.66,0.36,-0.3,6.6159,13.967999188528845,0.114,-0.114,14.988,0.067,-0.067,12.441,0.023,-0.023,12.034,0.027,-0.027,11.996,0.028,-0.028,11.843,0.022,-0.022,11.906,0.021,-0.021,11.904,0.167,-0.167,9.225,13.7295,13.2155,1,1,0,676.7615778518731,11.2435,-11.2435,1.73383,1.942991,1.93161,-0.209992,78.90147,18.51516,8.605522518999999,1.393,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.01,132.04560528017242,0.0,1.0882719278857642
